Gender,Academic librarian,Accommodation manager,"Accountant, chartered","Accountant, chartered certified","Accountant, chartered management","Accountant, chartered public finance",Accounting technician
1,17,16,65,53,72,71,75
1,98,51,78,50,48,14,116
1,63,32,95,71,36,77,66
1,24,22,81,83,57,60,8
1,41,71,113,7,112,24,91
1,73,16,93,102,27,16,76
1,20,58,72,88,52,43,57
1,109,43,22,36,53,46,46
1,84,6,106,101,16,29,86
1,66,46,92,23,104,106,11
1,91,7,52,90,28,28,90
1,49,39,111,76,68,22,111
1,98,18,78,52,42,34,63
1,30,96,11,14,118,92,7
1,58,37,49,95,77,48,23
1,49,82,45,88,27,2,27
1,47,86,44,15,48,29,113
1,49,98,8,15,66,110,90
1,111,72,4,100,17,36,107
1,48,39,42,55,80,109,104
1,72,38,114,113,90,6,36
1,49,99,33,74,20,20,41
1,97,33,84,66,94,115,98
1,39,102,16,68,54,30,16
1,43,81,5,60,60,66,59
1,43,60,13,55,113,73,85
1,16,22,78,20,103,114,25
1,81,66,110,70,26,32,14
1,33,41,21,6,110,18,7
1,22,27,9,16,80,104,87
1,49,20,4,60,19,83,7
1,28,72,95,14,105,46,62
1,64,46,68,44,29,53,8
1,50,35,71,53,92,99,112
1,89,106,17,20,117,32,97
1,33,35,94,37,20,45,46
1,90,87,58,93,96,55,47
1,13,92,57,20,29,95,39
1,74,46,23,61,28,107,59
1,58,12,95,111,91,44,103
1,27,70,7,47,25,46,87
1,65,110,18,15,15,106,6
1,82,74,42,114,98,49,61
1,2,118,89,88,109,27,59
1,54,82,9,117,18,98,39
1,21,33,60,80,12,41,19
1,89,95,80,102,66,84,13
1,54,111,30,93,12,56,69
1,78,46,57,25,87,86,28
1,107,56,96,96,23,108,60
1,14,40,92,111,101,18,88
1,87,3,45,46,78,92,64
1,65,38,95,45,4,22,87
1,53,5,20,72,55,73,98
1,71,20,11,108,23,61,116
1,55,112,75,3,106,39,72
1,115,84,93,77,15,25,70
1,63,11,116,88,43,78,17
1,25,24,71,60,27,6,14
1,104,100,10,32,103,53,9
1,54,57,103,92,101,104,69
1,67,9,15,5,118,107,67
1,10,96,94,62,27,63,19
1,78,39,6,38,110,22,15
1,86,9,47,60,91,89,54
1,97,22,89,99,83,60,14
1,108,78,36,78,103,111,103
1,23,115,112,13,96,57,44
1,64,62,68,104,4,15,80
1,72,11,31,34,117,30,102
1,100,102,102,11,6,17,83
1,92,43,29,112,49,84,44
1,20,115,116,59,100,87,62
1,24,98,63,38,50,110,101
1,17,46,10,57,56,49,108
1,72,22,53,80,28,101,41
1,14,72,10,66,72,68,57
1,15,75,81,50,90,48,99
1,117,11,74,107,44,106,109
1,77,68,39,60,66,68,51
1,14,38,101,59,23,19,17
1,91,97,26,31,27,67,21
1,102,32,13,51,89,25,13
1,118,75,81,102,101,117,82
1,63,53,36,16,17,15,6
1,2,87,100,69,68,42,48
1,73,8,38,51,27,91,100
1,37,74,20,33,58,74,26
1,104,112,111,93,49,77,27
1,108,33,7,112,72,47,28
1,19,55,68,110,32,13,15
1,85,31,102,52,60,100,97
1,33,79,117,79,96,85,113
1,116,7,98,107,26,25,92
1,55,112,100,97,106,81,46
1,40,6,106,114,77,39,63
1,63,108,37,84,11,67,42
1,68,27,77,99,24,63,74
1,34,36,35,81,76,80,90
1,105,114,102,114,68,68,55
1,26,50,28,33,64,97,63
1,23,89,71,112,61,96,108
1,85,105,106,45,102,17,25
1,4,18,106,8,93,31,49
1,86,89,35,57,28,76,23
1,35,109,107,76,114,84,30
1,24,108,9,71,95,30,35
1,55,28,61,4,102,46,60
1,87,18,98,58,6,89,115
1,19,43,39,27,110,107,18
1,18,117,41,28,19,9,48
1,81,64,95,50,58,78,58
1,17,38,11,116,23,95,27
1,19,87,106,109,49,111,115
1,13,109,80,101,52,16,81
1,8,46,55,38,50,52,3
1,3,23,19,107,73,64,33
1,108,59,36,92,94,113,6
1,63,59,59,56,58,25,70
1,32,90,72,91,8,25,81
1,37,103,77,8,103,14,11
1,33,79,14,80,34,116,77
1,102,15,84,64,9,42,82
1,68,51,14,38,108,85,23
1,31,55,91,49,42,40,107
1,104,59,68,84,72,26,90
1,110,35,16,51,107,81,26
1,89,28,6,70,92,117,108
1,90,25,86,5,95,112,7
1,77,33,47,108,68,22,74
1,84,53,69,56,68,35,30
1,78,23,46,22,79,95,114
1,2,53,24,44,47,59,20
1,26,51,66,17,29,46,22
1,96,43,111,79,30,30,76
1,82,73,87,63,115,59,53
1,28,95,23,96,97,58,3
1,42,41,67,43,93,54,105
1,26,63,37,60,29,43,47
1,78,23,115,50,99,115,110
1,29,81,97,92,22,86,62
1,50,78,60,60,98,41,91
1,20,65,116,7,27,20,47
1,35,10,24,112,25,23,59
1,75,38,88,96,14,114,118
1,70,64,28,63,113,38,79
1,26,8,18,78,32,61,62
1,88,116,64,19,75,74,22
1,106,22,82,92,68,110,61
1,31,66,117,44,55,78,91
1,47,7,61,98,78,9,32
1,81,79,99,17,27,66,65
1,93,84,37,90,42,2,6
1,55,27,46,53,43,88,68
1,7,53,58,18,54,43,103
1,21,116,76,28,43,78,29
1,4,102,67,49,21,3,58
1,96,40,60,21,104,109,63
1,100,36,61,17,33,43,73
1,13,104,55,73,67,101,31
1,58,54,65,46,107,9,19
1,110,113,56,68,52,28,71
1,72,4,74,67,98,23,58
1,102,36,90,93,36,79,23
1,14,8,105,12,44,64,106
1,30,90,40,31,51,24,88
1,6,117,3,50,41,8,104
1,18,90,34,37,112,50,34
1,31,93,76,66,75,78,115
1,83,48,107,58,98,22,8
1,77,114,84,98,93,90,68
1,22,102,19,58,75,39,102
1,85,86,47,110,75,40,33
1,100,40,43,30,60,25,116
1,15,35,34,71,101,24,55
1,43,85,116,58,23,107,77
1,74,43,112,24,23,41,18
1,21,28,118,55,106,15,43
1,25,117,91,84,100,48,59
1,116,82,56,94,12,76,101
1,70,41,92,8,102,45,107
1,64,100,100,78,114,73,95
1,45,26,94,45,114,23,57
1,113,15,79,76,19,5,15
1,80,97,89,91,47,84,62
1,30,36,54,112,110,89,2
1,83,22,64,77,105,58,38
1,98,113,89,79,36,21,88
1,86,59,67,84,3,56,43
1,101,39,60,103,71,40,99
1,12,59,63,79,27,106,79
1,26,90,31,66,14,72,60
1,70,114,18,95,90,105,113
1,104,114,88,5,79,113,69
1,5,49,109,30,88,79,22
1,109,38,99,87,74,91,90
1,67,6,14,106,21,35,48
1,117,33,79,104,23,54,108
1,70,90,31,38,114,118,91
1,16,40,32,95,15,11,100
1,36,90,106,21,30,29,29
1,60,117,58,7,37,85,99
1,108,46,14,62,97,113,22
1,31,65,113,79,107,116,7
1,64,41,3,67,52,20,64
1,92,79,41,35,80,61,43
1,69,116,7,26,60,3,21
1,79,79,87,5,87,35,45
1,31,84,86,83,54,20,23
1,17,57,84,15,61,88,31
1,39,16,37,68,105,75,37
1,15,81,49,38,94,105,7
1,84,105,34,67,73,12,99
1,73,51,44,99,65,66,72
1,48,77,49,28,82,83,67
1,61,44,108,108,11,52,55
1,11,98,21,22,86,86,73
1,32,16,109,99,89,15,115
1,65,25,59,20,36,37,108
1,93,44,59,41,13,72,63
1,6,40,109,103,104,71,75
1,67,36,31,43,88,4,65
1,13,107,56,87,13,106,68
1,44,74,92,7,99,103,20
1,107,23,45,114,11,96,113
1,21,70,44,4,3,53,67
1,109,105,38,42,86,85,91
1,3,78,64,25,111,4,94
1,38,69,105,9,78,82,109
1,57,96,91,41,29,76,45
1,43,39,38,64,34,20,32
1,11,44,49,117,58,56,33
1,25,106,41,67,34,25,51
1,20,41,71,101,14,26,56
1,56,74,44,84,89,85,66
1,39,57,93,16,12,114,13
1,82,60,81,100,92,21,40
1,70,86,34,26,78,114,23
1,36,50,53,102,96,59,21
1,4,27,20,27,110,91,103
1,103,35,11,94,19,16,7
1,70,3,94,37,82,55,23
1,38,94,51,69,111,45,79
1,47,15,111,108,49,20,4
1,64,82,30,104,81,63,17
1,27,101,52,74,97,40,40
1,49,67,93,114,103,109,53
1,6,21,48,113,96,89,45
1,62,10,26,93,58,98,21
1,86,29,99,46,42,116,114
1,113,87,17,87,97,53,89
1,15,8,30,49,12,65,88
1,30,96,65,56,15,78,33
1,64,6,42,60,12,106,19
1,71,93,93,13,89,37,48
1,88,27,19,22,51,31,50
1,107,48,9,61,79,40,83
1,67,88,34,41,59,30,56
1,110,26,114,106,109,103,13
1,113,55,34,12,88,31,52
1,117,55,76,60,99,75,77
1,51,116,43,99,50,73,58
1,25,50,12,93,84,36,49
1,51,74,21,48,18,6,115
1,103,89,39,41,105,50,31
1,15,70,54,117,5,22,65
1,42,63,4,10,34,116,112
1,81,104,57,40,44,37,69
1,13,56,29,82,12,17,100
1,25,106,103,117,80,41,38
1,39,64,85,110,28,93,99
1,52,70,39,3,32,47,118
1,93,78,51,5,111,4,9
1,22,54,116,89,78,27,6
1,42,50,48,11,90,53,97
1,73,52,53,79,45,16,116
1,29,42,14,37,106,66,57
1,91,75,114,94,40,80,49
1,20,112,115,55,92,89,44
1,59,29,60,117,15,79,3
1,5,20,60,97,108,113,97
1,103,47,30,25,51,24,38
1,40,56,110,7,44,9,107
1,14,32,3,59,54,68,64
1,22,79,51,37,117,49,96
1,46,55,97,84,93,53,30
1,82,86,33,3,18,88,89
1,38,53,48,57,87,78,89
1,67,49,63,79,17,10,95
1,36,47,50,22,102,113,27
1,112,49,84,14,64,102,13
1,82,42,63,75,85,39,3
1,80,90,100,44,107,89,50
1,47,83,107,13,83,68,64
1,35,59,66,64,50,24,71
1,64,113,94,85,11,89,2
1,92,35,106,18,89,62,63
1,32,114,87,64,62,9,38
1,94,58,114,79,37,12,54
1,96,91,48,91,73,13,63
1,36,22,32,38,4,76,22
1,101,59,21,58,60,88,71
1,97,84,83,13,64,115,11
1,61,27,59,13,20,74,16
1,46,114,36,54,16,16,38
1,117,71,112,102,23,35,66
1,76,82,107,31,56,19,116
1,66,33,107,104,83,55,106
1,29,8,45,86,26,10,115
1,59,61,59,38,81,42,77
1,53,30,29,29,83,17,61
1,42,58,50,30,71,71,16
1,73,107,92,77,47,49,60
1,5,15,67,48,67,56,50
1,117,31,29,61,77,26,20
1,3,10,83,27,43,67,5
1,4,6,7,49,18,73,115
1,90,97,30,19,9,61,91
1,21,38,17,13,74,105,42
1,11,71,71,6,4,117,51
1,81,104,44,65,88,27,105
1,17,19,33,73,21,95,20
1,81,44,23,93,86,10,33
1,91,98,73,10,82,62,118
1,85,29,80,15,93,61,79
1,31,22,40,51,61,50,7
1,58,59,15,8,117,98,90
1,110,17,84,96,97,92,113
1,91,57,104,10,63,74,24
1,16,2,96,53,82,50,99
1,23,18,57,94,93,19,105
1,103,113,36,39,73,102,9
1,61,117,72,116,15,44,8
1,25,15,43,116,15,82,97
1,81,96,5,18,72,42,21
1,112,53,71,89,44,10,101
1,93,55,113,76,77,84,71
1,91,65,109,69,54,52,38
1,83,70,27,36,6,10,40
1,73,69,91,102,116,118,36
1,45,114,98,78,92,91,19
1,23,117,67,108,13,15,75
1,68,47,28,67,18,52,98
1,10,30,16,40,117,35,102
1,22,73,108,18,105,82,116
1,16,86,60,116,110,81,68
1,46,42,93,36,74,20,46
1,99,107,42,18,9,115,78
1,56,30,9,116,83,23,57
1,51,21,29,27,69,94,26
1,32,60,38,10,15,91,97
1,108,109,46,62,66,30,81
1,66,29,27,103,48,88,83
1,7,48,6,16,114,29,74
1,48,109,102,100,85,56,85
1,64,78,84,75,17,5,71
1,53,88,115,26,93,44,26
1,9,76,44,70,4,21,92
1,86,94,79,69,43,77,61
1,56,55,29,47,103,82,51
1,56,40,27,81,12,13,71
1,90,116,78,105,55,33,88
1,26,113,98,68,88,15,4
1,10,50,96,55,85,35,97
1,36,86,38,54,109,7,90
1,29,21,63,19,40,32,6
1,114,58,3,47,18,4,95
1,111,48,42,39,51,10,19
1,3,76,42,110,44,100,95
1,98,108,74,34,72,85,29
1,117,62,29,65,51,32,94
1,73,73,64,61,25,47,17
1,59,49,116,117,33,71,73
1,77,116,98,113,71,71,106
1,39,80,79,50,6,80,93
1,69,9,55,79,108,76,40
1,57,49,38,39,108,112,20
1,115,33,66,95,108,76,57
1,49,113,35,27,102,21,88
1,44,33,3,69,110,38,33
1,6,47,26,56,68,43,3
1,22,70,15,43,111,46,39
1,67,24,22,5,48,13,72
1,55,86,90,112,117,102,57
1,73,41,96,37,91,10,109
1,39,63,40,75,17,116,112
1,4,27,97,29,80,45,118
1,43,116,3,57,105,47,107
1,39,71,37,22,87,10,71
1,54,113,86,101,35,81,25
1,91,82,108,36,11,103,6
1,116,45,25,36,114,40,79
1,19,61,106,84,39,85,85
1,7,86,85,70,15,83,20
1,103,12,55,92,99,6,101
1,108,47,13,9,99,53,101
1,102,4,57,22,104,92,31
1,11,62,41,91,104,66,26
1,108,21,73,25,18,22,46
1,19,8,68,76,83,24,93
1,20,66,19,105,71,9,102
1,24,58,59,57,32,8,117
1,69,51,111,20,6,26,66
1,68,4,10,72,84,10,95
1,115,44,17,102,83,102,109
1,83,110,110,104,103,36,111
1,81,80,33,11,80,113,79
1,50,96,8,70,89,59,51
1,36,36,8,55,96,3,32
1,53,56,109,78,63,17,98
1,47,3,35,82,58,38,20
1,39,87,84,115,111,40,110
1,56,110,24,111,79,34,106
1,111,72,7,61,27,71,21
1,55,26,23,79,18,6,13
1,68,13,111,13,24,93,16
1,36,28,60,86,7,109,82
1,51,113,105,89,22,86,95
1,79,39,56,74,21,61,42
1,49,5,11,44,99,4,36
1,43,4,28,73,61,31,100
1,82,47,21,73,49,103,106
1,83,14,48,66,33,109,10
1,70,68,26,8,18,98,91
1,42,74,106,104,108,56,74
1,5,96,67,22,48,81,44
1,42,7,19,73,22,65,9
1,8,96,92,88,97,13,118
1,35,2,104,100,117,78,58
1,10,59,69,43,7,81,70
1,58,84,3,42,92,97,18
1,25,67,33,32,25,28,108
1,75,56,33,15,26,106,75
1,20,25,20,44,92,3,67
1,17,16,87,64,112,17,65
1,79,41,105,34,8,39,70
1,114,7,118,20,73,51,48
1,46,69,14,49,71,110,95
1,17,17,23,39,43,102,66
1,70,41,108,86,23,114,11
1,108,29,11,109,66,24,23
1,85,12,72,102,54,115,21
1,108,99,55,42,37,53,7
1,14,116,104,75,23,107,57
1,94,105,30,98,18,13,67
1,91,44,89,96,11,43,113
1,71,94,39,10,20,21,63
1,12,48,6,107,3,69,17
1,33,61,61,5,63,110,90
1,99,8,98,76,108,16,29
1,47,37,6,78,74,100,24
1,46,34,83,14,19,33,63
1,107,19,83,101,97,2,97
1,3,116,97,96,86,17,61
1,91,107,105,50,8,30,45
1,16,116,95,113,21,69,87
1,62,92,14,65,49,98,23
1,115,109,76,55,102,7,67
1,33,65,20,69,61,41,80
1,43,99,23,112,90,101,3
1,34,86,61,117,31,38,102
1,14,90,117,86,55,71,116
1,41,49,89,24,116,106,109
1,62,80,76,30,25,56,27
1,72,20,90,61,5,44,114
1,67,40,94,83,77,117,89
1,94,116,38,90,41,28,50
1,50,10,15,86,102,84,36
1,117,10,112,23,76,90,78
1,4,6,78,6,108,112,84
1,83,10,9,114,16,69,95
1,52,42,75,15,10,73,60
1,10,91,39,100,85,24,60
1,53,10,42,47,28,96,16
1,40,110,85,17,117,92,74
1,102,59,6,57,17,4,60
1,26,52,17,85,52,114,82
1,47,43,84,56,70,48,51
1,76,24,105,38,56,22,20
1,91,105,72,19,106,31,106
1,69,55,69,16,30,37,64
1,8,92,76,67,13,63,43
1,101,48,4,70,86,90,79
1,106,69,79,59,12,38,64
1,102,30,117,99,52,43,97
1,33,50,14,25,13,57,84
1,77,29,83,95,118,18,100
1,42,71,79,32,27,28,15
1,78,69,24,72,100,16,15
1,16,92,41,39,59,79,30
1,45,9,83,102,20,84,60
1,33,111,28,79,117,33,62
1,78,33,113,31,63,55,32
1,99,30,42,111,80,51,28
1,48,64,60,13,22,38,15
1,85,37,75,23,9,41,87
1,11,79,5,38,20,89,79
1,64,94,109,29,109,45,13
1,74,62,90,39,104,30,23
1,98,5,104,89,102,54,17
1,46,24,99,81,71,117,9
1,43,87,116,118,117,84,83
1,108,59,39,17,85,47,63
1,18,57,35,117,91,3,105
1,42,66,56,22,49,115,108
1,68,37,60,86,112,70,44
1,28,39,42,79,116,95,104
1,49,83,6,110,22,22,55
1,19,117,98,11,96,92,39
1,19,40,53,3,98,32,37
1,19,95,46,75,22,52,33
1,21,74,24,77,99,106,46
1,112,6,95,92,81,68,100
1,15,78,114,56,23,59,64
1,18,83,89,32,4,67,87
1,63,32,8,71,100,14,69
1,113,65,48,36,83,111,97
1,52,53,109,49,71,56,107
1,8,99,26,23,88,110,27
1,62,98,17,33,10,97,23
1,107,50,107,86,24,9,14
1,80,23,60,19,56,77,52
1,32,45,25,22,55,77,30
1,79,17,30,52,104,90,117
1,66,103,31,109,69,74,96
1,45,18,61,34,12,58,86
1,32,7,109,11,68,116,27
1,11,49,37,82,103,34,27
1,5,44,48,95,73,21,24
1,45,57,63,17,13,9,92
1,49,67,22,81,27,76,18
1,13,4,5,27,20,118,73
1,109,29,58,17,46,102,34
1,111,10,101,35,51,24,107
1,4,34,71,16,81,91,17
1,39,25,40,43,69,89,22
1,57,44,33,48,21,20,110
1,24,12,13,85,21,78,63
1,58,16,14,51,107,41,7
1,45,84,19,107,104,57,84
1,18,67,71,114,30,40,63
1,78,64,20,55,98,81,53
1,88,116,42,99,28,53,5
1,51,38,11,8,29,16,51
1,57,59,102,91,94,100,88
1,79,89,115,25,110,98,116
1,50,25,22,7,104,29,61
1,73,78,39,29,8,33,49
1,97,90,39,60,100,77,29
1,85,17,55,58,21,39,7
1,37,31,25,15,9,66,48
1,104,52,48,16,101,118,33
1,51,113,30,58,102,90,17
1,39,46,43,100,95,116,16
1,80,39,43,63,28,39,4
1,66,23,48,49,43,60,11
1,3,103,42,52,47,104,67
1,89,77,29,58,39,83,4
1,94,102,83,13,97,24,115
1,81,27,102,74,109,44,99
1,23,18,33,39,82,95,110
1,46,75,44,5,104,115,18
1,73,116,11,19,8,22,60
1,27,117,101,102,20,6,11
1,116,40,88,27,112,67,84
1,118,37,68,59,62,106,83
1,15,82,36,88,18,68,89
1,74,96,26,102,33,68,13
1,3,81,7,27,109,80,89
1,112,56,93,97,91,91,79
1,50,117,49,92,55,83,81
1,66,11,115,48,41,116,65
1,110,69,63,96,9,104,115
1,115,85,23,3,71,12,118
1,30,54,52,47,95,46,55
1,38,71,4,94,25,83,36
1,117,11,5,116,66,97,21
1,29,32,37,90,39,22,40
1,50,57,97,68,55,34,99
1,49,39,34,30,83,94,40
1,9,66,58,89,15,5,24
1,50,41,64,26,111,10,7
1,72,85,65,29,100,115,18
1,27,29,32,61,45,42,68
1,35,25,64,29,57,41,55
1,43,106,101,17,33,36,60
1,3,72,21,18,87,86,87
1,112,53,56,13,100,54,110
1,50,96,61,13,88,116,102
1,96,98,23,61,72,6,50
1,13,16,40,107,57,111,26
1,36,73,77,63,93,9,37
1,50,97,57,37,30,90,86
1,66,45,2,117,41,38,44
1,46,93,35,59,90,20,94
1,11,87,49,32,73,36,6
1,27,113,112,10,6,81,59
1,43,67,99,109,100,24,42
1,24,52,95,96,23,39,66
1,78,93,32,62,39,115,74
1,19,45,36,4,109,6,58
1,99,65,104,26,48,9,61
1,101,44,15,12,11,57,5
1,60,36,104,49,44,55,108
1,62,51,12,98,3,4,78
1,18,99,46,21,76,23,77
1,40,39,90,59,89,18,30
1,28,113,41,50,98,25,17
1,29,114,79,49,64,18,5
1,110,65,105,101,41,4,79
1,103,81,111,48,100,43,100
1,42,91,56,26,100,96,60
1,56,32,7,56,86,19,92
1,61,65,6,109,17,28,61
1,58,72,2,99,19,15,45
1,111,86,88,84,42,76,86
1,105,43,8,37,72,28,97
1,2,85,65,22,84,18,92
1,113,98,20,91,94,31,54
1,117,21,57,116,19,112,49
1,63,78,80,112,11,20,61
1,44,18,50,20,28,44,109
1,85,64,102,44,15,102,83
1,86,24,52,15,74,37,110
1,115,79,49,105,113,53,36
1,27,80,106,37,116,92,99
1,5,76,70,25,109,82,30
1,58,35,29,68,9,116,67
1,54,87,13,36,98,27,97
1,94,94,55,7,17,101,14
1,87,104,21,18,89,25,115
1,81,90,63,53,57,91,36
1,26,23,109,18,9,64,31
1,82,7,44,17,67,26,88
1,15,77,11,71,78,60,39
1,56,13,89,117,34,23,39
1,96,61,69,6,61,34,98
1,102,99,94,64,104,21,91
1,110,76,79,86,80,24,30
1,52,75,116,104,12,109,44
1,80,44,114,82,102,17,96
1,57,70,90,11,91,66,109
1,107,112,37,115,11,69,52
1,28,70,107,114,74,116,98
1,38,112,69,31,109,77,39
1,76,100,83,42,114,8,68
1,111,24,59,76,105,7,67
1,117,41,77,113,72,111,100
1,14,38,61,47,12,30,84
1,40,49,3,68,38,68,7
1,18,9,62,59,60,62,12
1,61,68,77,95,90,84,102
1,116,48,16,111,12,63,101
1,54,82,13,98,29,92,27
1,37,42,62,101,48,111,82
1,17,38,14,93,105,3,91
1,35,101,53,78,98,18,56
1,111,8,40,20,66,54,87
1,34,108,100,95,43,20,51
1,25,23,23,21,69,111,116
1,52,12,110,4,77,10,69
1,117,93,70,12,59,47,59
1,6,23,53,9,6,7,104
1,62,73,75,45,98,63,87
1,116,56,114,43,91,44,98
1,56,34,89,77,40,26,69
1,41,5,117,105,70,34,102
1,78,37,38,82,106,68,71
1,42,74,95,77,72,53,38
1,21,86,90,52,11,83,22
1,26,59,7,35,44,84,102
1,62,81,99,26,116,115,118
1,19,3,99,101,67,13,6
1,107,79,107,83,117,108,3
1,62,18,50,23,63,117,44
1,97,13,72,48,41,14,114
1,25,21,41,51,115,70,36
1,15,57,52,87,40,78,15
1,110,108,62,66,86,69,92
1,116,76,18,84,70,51,52
1,64,62,92,68,66,93,21
1,116,73,10,68,10,86,26
1,66,58,46,48,86,101,46
1,33,86,44,76,64,69,52
1,24,111,39,101,11,54,11
1,74,58,106,75,39,91,69
1,89,50,66,5,34,2,110
1,59,24,13,8,27,105,65
1,104,8,40,110,74,118,37
1,23,23,99,11,29,88,4
1,62,100,27,95,93,45,22
1,34,33,84,98,59,35,90
1,96,37,92,18,18,104,10
1,75,106,111,62,69,27,79
1,84,7,25,34,28,46,101
1,108,87,8,70,48,25,94
1,71,16,11,25,96,72,51
1,18,4,101,75,4,50,111
1,90,18,58,10,65,19,16
1,116,40,17,81,63,94,64
1,20,77,68,48,43,111,93
1,18,108,110,86,28,67,55
1,113,62,58,35,85,100,90
1,51,117,45,18,101,58,6
1,18,4,98,25,27,25,92
1,23,41,109,87,42,52,34
1,33,13,65,61,79,86,80
1,73,22,96,113,53,103,50
1,107,59,78,53,111,38,83
1,55,107,18,55,57,108,71
1,81,3,43,37,13,100,72
1,50,95,118,59,47,40,75
1,19,61,38,75,74,95,22
1,92,92,51,112,92,17,84
1,21,70,39,68,88,87,30
1,27,23,117,62,3,69,70
1,31,108,100,21,109,80,112
1,12,80,17,41,87,64,81
1,32,114,28,82,82,15,90
1,97,72,4,28,78,66,10
1,83,97,116,62,42,79,86
1,76,87,98,89,58,105,36
1,95,102,104,55,68,78,55
1,101,81,23,12,70,90,55
1,117,44,11,103,90,73,69
1,82,100,52,3,73,42,75
1,17,104,117,67,12,20,67
1,94,59,115,36,5,112,114
1,94,111,4,84,79,71,78
1,88,62,26,79,6,94,5
1,95,116,50,70,21,103,95
1,65,108,48,14,54,101,77
1,105,27,52,56,65,87,27
1,81,51,18,60,12,78,7
1,53,109,78,8,30,112,105
1,103,24,28,24,21,10,51
1,70,52,90,66,94,77,64
1,30,40,99,16,57,62,33
1,71,36,56,89,42,101,104
1,97,53,35,24,16,42,110
1,100,105,12,13,94,29,37
1,96,39,56,20,16,22,104
1,92,47,78,59,28,94,88
1,32,115,96,42,46,4,27
1,116,45,88,5,68,91,64
1,23,17,31,34,25,22,14
1,94,24,37,68,11,57,84
1,53,113,106,93,83,83,78
1,48,26,69,97,75,92,109
1,108,57,98,89,21,33,95
1,65,9,57,32,117,26,113
1,65,33,84,12,16,26,13
1,60,53,90,23,30,68,30
1,67,33,55,76,56,112,17
1,89,88,43,61,48,82,55
1,115,62,49,30,83,18,10
1,88,89,66,8,56,7,107
1,8,81,4,62,89,13,21
1,56,77,94,22,70,95,74
1,73,101,25,29,37,37,49
1,60,57,45,13,88,92,92
1,31,83,112,47,87,35,69
1,58,10,76,92,101,18,76
1,112,43,77,106,78,87,43
1,78,57,53,96,85,62,94
1,49,4,44,117,29,16,96
1,78,7,9,3,53,9,47
1,40,54,74,61,38,73,69
1,75,50,106,18,18,18,111
1,46,69,101,23,88,73,41
1,99,15,100,49,40,74,103
